,Order,Family,Genus,species,tree.name,female2n,male2n,B.chromosomes,sex.chromosome.system,notes..comments,hapauto,codedSCS,Source,Study
1397,Rodentia,Muridae,Taterillus,congicus,Taterillus_congicus,54,54,,XY,,26,unfused,Animal Karyotype Book,Dobigny 2002
1233,Rodentia,Octodontidae,Aconaemys,sagei,Aconaemys_sagei,54,54,,XY,,26,unfused,Animal Karyotype Book 2020,Gallardo and Mondaca 2002
1421,Rodentia,Octodontidae,Aconaemys,sagei,Aconaemys_sagei,54,54,,XY,,26,unfused,Animal Karyotype Book,Gallardo and Mandaca 2002
1433,Rodentia,Sciuridae,Funambulus,pennati,Funambulus_pennati,54,54,,XY,,26,unfused,Blackmon,
58,Artiodactyla,Bovidae,Budorcas,taxicolor,Budorcas_taxicolor,52,52,,XY,,25,unfused,Animal Karyotype Book,Rubes et al. 2012
103,Artiodactyla,Bovidae,Kobus,megaceros,Kobus_megaceros,52,52,,XY,,25,unfused,Animal Karyotype Book,Kingswood et al. 2000
131,Artiodactyla,Bovidae,Ovis,nivcola,Ovis_nivcola,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Huang et al. 2005
140,Artiodactyla,Bovidae,Syncerus,caffer,Syncerus_caffer,52,52,,XY,,25,unfused,Blackmon,
79,Artiodactyla,Bovidae,Gazella,bennettii,Gazella_bennettii,NA,49-52,,XY,,25,unfused,Atlas of Mammalian Chromosomes,Kumamoto et al. 1995
89,Artiodactyla,Bovidae,Gazella,saudiya,Gazella_saudiya,NA,46-53,,XY,,25,unfused,Atlas of Mammalian Chromosomes,Kumamoto et al. 1995
100,Artiodactyla,Bovidae,Kobus,ellipsiprymnus ellipsiprymnus,Kobus_ellipsiprymnus ellipsiprymnus,NA,50-52,,XY,,25,unfused,Atlas of Mammalian Chromosomes,Kingswood et al. 1998b
105,Artiodactyla,Bovidae,Madoqua,guentheri,Madoqua_guentheri,NA,48-50,,XY,,25,unfused,Atlas of Mammalian Chromosomes,Kingswood and Kumamoto 1996
110,Artiodactyla,Bovidae,Neotragus,moschatus,Neotragus_moschatus,NA,52-56,,XY,,25,unfused,Atlas of Mammalian Chromosomes,Kingswood et al. 1998b
391,Carnivora,Ursidae,Tremarctos,ornatus,Tremarctos_ornatus,52,52,,XY,,25,unfused,Animal Karyotype Book,Nash et al. 1998
401,Carnivora,Viverridae,Genetta,genetta neumanni,Genetta_genetta neumanni,52,52,,XY,,25,unfused,Blackmon,
409,Carnivora,Viverridae,Genetta,maculata,Genetta_maculata,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Matoso Silva et al. 2016
410,Carnivora,Viverridae,Genetta,pardina,Genetta_pardina,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Beklemisheva (Unpublished)
245,Carnivora,Canidae,Vulpes,lagopus,Vulpes_lagopus,NA,48-50,,XY,Chrom rearrangements,25,unfused,Atlas of Mammalian Chromosomes,"Graphodatsky et al. 2000b, 2008a; Nash et al. 2001"
559,Chiroptera,Rhinolophidae,Rhinolophus,formosae,Rhinolophus_formosae,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Volleth et al. 2017
716,Eulipotyphla,Soricidae,Neomys,fodiens,Neomys_fodiens,52,52,,XY,,25,unfused,Animal Karyotype Book,Perelman and Graphodatsky (Unpublished)
804,Perissodactyla,Equidae,Equus,kiang,Equus_kiang,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Musilova et al. 2009
813,Perissodactyla,Tapiridae,Tapirus,indicus,Tapirus_indicus,52,52,,XY,,25,unfused,Animal Karyotype Book,Houck et al. 2000
818,Pilosa,Choloepodidae,Choloepus,didactylus,Choloepus_didactylus,53,53,,XY,,25,unfused,Animal Karyotype Book,Nash (Unpublished)
873,Primates,Cebidae,Cebus,olivaceus,Cebus_olivaceus,52,52,,XY,,25,unfused,Animal Karyotype Book,Amaral et al. 2008
930,Primates,Hylobatidae,Hylobates,concolor,Hylobates_concolor,52,52,,XY,,25,unfused,Blackmon,Koehler et al. 1995
938,Primates,Hylobatidae,Nomascus,concolor,Nomascus_concolor,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Muller et al. 2003
941,Primates,Hylobatidae,Nomascus,gabriellae,Nomascus_gabriellae,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Nie et al. (Unpublished)
939,Primates,Hylobatidae,Nomascus,leucogenys,Nomascus_leucogenys,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Nie et al. (Unpublished)
940,Primates,Hylobatidae,Nomascus,siki,Nomascus_siki,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Nie et al. (Unpublished)
997,Rodentia,Cricetidae,Abrothrix,longipilis,Abrothrix_longipilis,52,52,,XY,,25,unfused,Animal Karyotype Book,Gallardo 1982
998,Rodentia,Cricetidae,Abrothrix,olivaceus,Abrothrix_olivaceus,52,52,,XY,,25,unfused,Animal Karyotype Book,Gallardo 1982
999,Rodentia,Cricetidae,Abrothrix,sanborni,Abrothrix_sanborni,52,52,,XY,,25,unfused,Animal Karyotype Book,Gallardo 1982
1006,Rodentia,Cricetidae,Akodon,xanthorhinus,Akodon_xanthorhinus,52,52,,XY,,25,unfused,Blackmon,
1035,Rodentia,Cricetidae,Calomyscus,sp. 1,Calomyscus_sp. 1,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Romanenko et al. 2007
1143,Rodentia,Cricetidae,Microtus,clarkei,Microtus_clarkei,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Li et al. 2006b
1102,Rodentia,Cricetidae,Microtus,fortis,Microtus_fortis,52,52,,XY,,25,unfused,Animal Karyotype Book,Kovalskaya et al. 1991
1133,Rodentia,Cricetidae,Microtus,subterraneus,Microtus_subterraneus,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Sablina et al. (Unpublished)
1131,Rodentia,Cricetidae,Microtus,transcaspicus,Microtus_transcaspicus,52,52,,XY,,25,unfused,Animal Karyotype Book,Sablina et al. (Unpublished)
1162,Rodentia,Cricetidae,Neofiber,alleni,Neofiber_alleni,52,52,,XY,,25,unfused,Animal Karyotype Book,Modi 1987
1163,Rodentia,Cricetidae,Neotoma,albigula,Neotoma_albigula,52,52,,XY,,25,unfused,Blackmon,Mascarello et al. 1974
1165,Rodentia,Cricetidae,Neotoma,floridana,Neotoma_floridana,52,52,,XY,,25,unfused,Blackmon,
1166,Rodentia,Cricetidae,Neotoma,mexicana,Neotoma_mexicana,52,52,,XY,,25,unfused,Blackmon,
1167,Rodentia,Cricetidae,Neotoma,micropus,Neotoma_micropus,52,52,,XY,,25,unfused,,Mascarello et al. 1974
1168,Rodentia,Cricetidae,Neotoma,stephensi,Neotoma_stephensi,52,52,,XY,,25,unfused,Blackmon,
1170,Rodentia,Cricetidae,Ochrotomys,nuttalli,Ochrotomys_nuttalli,52,52,,XY,,25,unfused,Blackmon,
1194,Rodentia,Cricetidae,Phenacomys,longicaudus,Phenacomys_longicaudus,52,52,,XY,,25,unfused,Blackmon,
1207,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon_hispidus,52,52,,XY,,25,unfused,Blackmon,
1212,Rodentia,Cricetidae,Thaptomys,nigrita,Thaptomys_nigrita,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Hass et al. 2008
1215,Rodentia,Cricetidae,Tylomys,panamensis,Tylomys_panamensis,52,52,,XY,,25,unfused,Blackmon,
1263,Rodentia,Erethizontidae,Chaetomys,subspinosus,Chaetomys_subspinosus,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Vilela et al. 2009
1280,Rodentia,Heteromyidae,Dipodomys,heermanni,Dipodomys_heermanni,52,52,,XY,,25,unfused,Blackmon,
1282,Rodentia,Heteromyidae,Dipodomys,merriami,Dipodomys_merriami,52,52,,XY,,25,unfused,Blackmon,Mascarello et al. 1974
1332,Rodentia,Muridae,Gerbillurus,gambianus,Gerbillurus_gambianus,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Volobouev et al. 2007
1326,Rodentia,Muridae,Gerbillus,rupicola,Gerbillus_rupicola,52,52,,XY,,25,unfused,Animal Karyotype Book,Granjon et al. 2002
1350,Rodentia,Muridae,Maxomys,surifer,Maxomys_surifer,52,52,,XY,,25,unfused,Animal Karyotype Book 2020,Badenhorst et al. 2011
1098,Rodentia,Cricetidae,Microtus,californicus,Microtus_californicus,53,53,,XY,,25,unfused,Atlas of Mammalian Chromosomes,Modi 1987
56,Artiodactyla,Bovidae,Bubalus,bubalis,Bubalus_bubalis,50,50,,XY,,24,unfused,Blackmon,Iannuzzi 1994
65,Artiodactyla,Bovidae,Capricornis,crispus,Capricornis_crispus,50,50,,XY,,24,unfused,Blackmon,Biltueva et al. (Unpublished)
104,Artiodactyla,Bovidae,Kobus,kob,Kobus_kob,50,50,,XY,,24,unfused,Blackmon,
101,Artiodactyla,Bovidae,Kobus,kob thomasi,Kobus_kob thomasi,50,50,,XY,,24,unfused,Animal Karyotype Book,Kingswood et al. 2000
135,Artiodactyla,Bovidae,Pseudoryx,nghetinhensis,Pseudoryx_nghetinhensis,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Kulemzina et al. 2014
244,Carnivora,Canidae,Alopex,lagopus,Alopex_lagopus,50,50,,XY,,24,unfused,Blackmon,Nash et al. 2001
265,Carnivora,Canidae,Vulpes,macrotis,Vulpes_macrotis,50,50,,XY,,24,unfused,Animal Karyotype Book,Wayne et al. 1987a
322,Carnivora,Mephitidae,Mephitis,macroura,Mephitis_macroura,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Perelman et al. 2008
321,Carnivora,Mephitidae,Mephitis,mephitis,Mephitis_mephitis,50,50,,XY,,24,unfused,Blackmon,Perelman et al. 2008
408,Carnivora,Viverridae,Genetta,johnstoni,Genetta_johnstoni,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Gaubert et al. 2004
569,Chiroptera,Vespertilionidae,Eptesicus,bottae,Eptesicus_bottae,50,50,,XY,,24,unfused,Animal Karyotype Book,Volleth et al. 2001
570,Chiroptera,Vespertilionidae,Eptesicus,fuscus,Eptesicus_fuscus,50,50,,XY,,24,unfused,Blackmon,Teeling and Stanyon (Unpublished)
622,Cingulata,Chlamyphoridae,Cabassous,tatouay,Cabassous_tatouay,50,50,,XY,,24,unfused,Animal Karyotype Book,Benirschke 1969
707,Eulipotyphla,Soricidae,Blarina,carlinensis peninsulae,Blarina_carlinensis peninsulae,50,50,,XY,,24,unfused,Animal Karyotype Book,George et al. 1982
740,Eulipotyphla,Soricidae,Crocidura,olivieri,Crocidura_olivieri,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Aniskin (Unpublished)
823,Pilosa,Bradypodidae,Bradypus,torquatus,Bradypus_torquatus,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Azevedo et al. 2012
832,Primates,Atelidae,Alouatta,belzebul,Alouatta_belzebul,50,49,,XO,Y translocated to autosome,24,unfused,Animal Karyotype Book,Consigliere et al. .1998
833,Primates,Atelidae,Alouatta,caraya,Alouatta_caraya,50,50,,XY,,24,unfused,Animal Karyotype Book,Bigoni and Stanyon (Unpublished)
933,Primates,Hylobatidae,Hylobates,syndactylus,Hylobates_syndactylus,50,50,,XY,,24,unfused,Animal Karyotype Book,Ponsa et al. (Unpublished)
934,Primates,Hylobatidae,Symphalangus,brachytanites,Symphalangus_brachytanites,50,50,,XY,,24,unfused,Blackmon,
935,Primates,Hylobatidae,Symphalangus,syndactylus,Symphalangus_syndactylus,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Muller et al. 2003
956,Primates,Lorisidae,Nycticebus,coucang,Nycticebus_coucang,50,50,,XY,,24,unfused,Animal Karyotype Book,Stanyon et al. 1987a
957,Primates,Lorisidae,Nycticebus,pygmaeus,Nycticebus_pygmaeus,50,50,,XY,,24,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
968,Primates,Pitheciidae,Callicebus,donacophilus pallescens,Callicebus_donacophilus pallescens,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Barros et al. 2003
969,Primates,Pitheciidae,Callicebus,hoffmannsi,Callicebus_hoffmannsi,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,J.C. Pieczarka (Unpublished)
961,Primates,Pitheciidae,Callicebus,pallescens,Callicebus_pallescens,50,50,,XY,,24,unfused,Animal Karyotype Book,Stanyon et al. 2000
1021,Rodentia,Cricetidae,Amphinectomys,savamis,Amphinectomys_savamis,50,50,,XY,,24,unfused,Animal Karyotype Book,Malygin et al. 1994
1065,Rodentia,Cricetidae,Eligmodontia,puerulus,Eligmodontia_puerulus,50,50,,XY,,24,unfused,Animal Karyotype Book,Kelt et al. 1991
1069,Rodentia,Cricetidae,Ellobius,talpinus,Ellobius_talpinus,50,50,,XY,,24,unfused,Animal Karyotype Book,Perelman and Graphodatsky (Unpublished)
1085,Rodentia,Cricetidae,Lemmus,sibiricus,Lemmus_sibiricus,50,50,,XY,,24,unfused,Animal Karyotype Book,Modi 1987
1092,Rodentia,Cricetidae,Microtus,agrestis,Microtus_agrestis,50,50,,XY,,24,unfused,Blackmon,Modi 1987
1106,Rodentia,Cricetidae,Microtus,hyperboreus,Microtus_hyperboreus,50,50,,XY,,24,unfused,Blackmon,Sablina et al. (Unpublished)
1113,Rodentia,Cricetidae,Microtus,mongolicus,Microtus_mongolicus,50,50,,XY,,24,unfused,Animal Karyotype Book,Sablina et al. (Unpublished)
1125,Rodentia,Cricetidae,Microtus,sachalinensis,Microtus_sachalinensis,50,50,,XY,,24,unfused,Animal Karyotype Book,Sablina et al. (Unpublished)
1130,Rodentia,Cricetidae,Microtus,townsendii,Microtus_townsendii,50,50,,XY,,24,unfused,Blackmon,Modi 1987
1203,Rodentia,Cricetidae,Reithrodontomys,fulvescens,Reithrodontomys_fulvescens,50,50,,XY,,24,unfused,Blackmon,
1211,Rodentia,Cricetidae,Synaptomys,cooperi,Synaptomys_cooperi,50,50,,XY,,24,unfused,Animal Karyotype Book,Modi 1987
1226,Rodentia,Ctenomyidae,Ctenomys,rionegrensis,Ctenomys_rionegrensis,50,50,,XY,,24,unfused,Animal Karyotype Book,L. Garcia et al. 2002
1304,Rodentia,Muridae,Apodemus,flavicolis,Apodemus_flavicolis,50,50,,XY,,24,unfused,Blackmon,
1333,Rodentia,Muridae,Gerbillurus,guineae,Gerbillurus_guineae,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Volobouev et al. 2007
1358,Rodentia,Muridae,Meriones,meridianus,Meriones_meridianus,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Romanenko (Unpublished)
1392,Rodentia,Spalacidae,Tachyoryctes,macrocephalus,Tachyoryctes_macrocephalus,50,50,,XY,,24,unfused,Animal Karyotype Book 2020,Aniskin et al. 1997b
1461,Rodentia,Spalacidae,Tachyoryctes,macrocephalus,Tachyoryctes_macrocephalus,50,50,,XY,,24,unfused,Animal Karyotype Book,Aniskin et al. 1997b
44,Artiodactyla,Bovidae,Anoa,depressicornis depressicornis,Anoa_depressicornis depressicornis,48,48,,XY,,23,unfused,Blackmon,
57,Artiodactyla,Bovidae,Bubalus,depressicornis,Bubalus_depressicornis,48,48,,XY,,23,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
66,Artiodactyla,Bovidae,Capricornis,sumatraensis,Capricornis_sumatraensis,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Huang et al. 2005
96,Artiodactyla,Bovidae,Hemitragus,jemlahicus,Hemitragus_jemlahicus,48,48,,XY,,23,unfused,Blackmon,Rubes et al. 2012
102,Artiodactyla,Bovidae,Kobus,leche,Kobus_leche,48,48,,XY,,23,unfused,Animal Karyotype Book,Kingswood et al. 2000
121,Artiodactyla,Bovidae,Ovibos,moschatus,Ovibos_moschatus,48,48,,XY,,23,unfused,Blackmon,Biltueva and Graphodatsky (Unpublished)
440,Chiroptera,Molossidae,Chaerephon,plicatus,Chaerephon_plicatus,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Mao et al. 2007b
432,Chiroptera,Molossidae,Eumops,perotis,Eumops_perotis,48,48,,XY,,23,unfused,Animal Karyotype Book,Morielle-Versute et al. 1996
434,Chiroptera,Molossidae,Molossops,temminckii,Molossops_temminckii,48,48,,XY,,23,unfused,Animal Karyotype Book,Morielle-Versute et al. 1996
435,Chiroptera,Molossidae,Molossus,molossus,Molossus_molossus,48,48,,XY,,23,unfused,Animal Karyotype Book,Morielle-Versute et al. 1996
436,Chiroptera,Molossidae,Molossus,rufus,Molossus_rufus,48,48,,XY,,23,unfused,Animal Karyotype Book,Morielle-Versute et al. 1996
437,Chiroptera,Molossidae,Nyctinomops,laticaudatus,Nyctinomops_laticaudatus,48,48,,XY,,23,unfused,Animal Karyotype Book,Morielle-Versute et al. 1996
438,Chiroptera,Molossidae,Tadarida,brasiliensis,Tadarida_brasiliensis,48,48,,XY,,23,unfused,Blackmon,
439,Chiroptera,Molossidae,Tadarida,teniotis,Tadarida_teniotis,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Mao et al. 2008
543,Chiroptera,Pteropodidae,Otopteropus,cartilagonodus,Otopteropus_cartilagonodus,48,48,,XY,,23,unfused,Animal Karyotype Book,Rickart et al. 1999
696,Eulipotyphla,Erinaceidae,Erinaceus,amurensis,Erinaceus_amurensis,48,48,,XY,,23,unfused,Animal Karyotype Book,Radjabli and Graphodatsky (Unpublished)
697,Eulipotyphla,Erinaceidae,Erinaceus,concolor,Erinaceus_concolor,48,48,,XY,,23,unfused,Animal Karyotype Book,Sokolov et al. 1991
698,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,Erinaceus_europaeus,48,48,,XY,,23,unfused,Animal Karyotype Book,Radjabli and Graphodatsky (Unpublished)
699,Eulipotyphla,Erinaceidae,Hemiechinus,auritus,Hemiechinus_auritus,48,48,,XY,,23,unfused,Animal Karyotype Book,Yang et al. 2006
700,Eulipotyphla,Erinaceidae,Hemiechinus,dauricus,Hemiechinus_dauricus,48,48,,XY,,23,unfused,Animal Karyotype Book,Radjabli and Graphodatsky (Unpublished)
705,Eulipotyphla,Erinaceidae,Hylomys,suillus,Hylomys_suillus,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Pavlova (Unpublished)
701,Eulipotyphla,Erinaceidae,Paraechinus,hypomelas,Paraechinus_hypomelas,48,48,,XY,,23,unfused,Animal Karyotype Book,Radjabli and Graphodatsky (Unpublished)
760,Lagomorpha,Leporidae,Lepus,alleni alleni,Lepus_alleni alleni,48,48,,XY,,23,unfused,Blackmon,
757,Lagomorpha,Leporidae,Lepus,americanus,Lepus_americanus,48,48,,XY,,23,unfused,Blackmon,
758,Lagomorpha,Leporidae,Lepus,californicus,Lepus_californicus,48,48,,XY,,23,unfused,Animal Karyotype Book,Robinson et al. 2002
761,Lagomorpha,Leporidae,Lepus,californicus eremicus,Lepus_californicus eremicus,48,48,,XY,,23,unfused,Blackmon,
773,Lagomorpha,Leporidae,Lepus,mandshuricus,Lepus_mandshuricus,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Beklemisheva and Kartavtseva (Unpublished)
759,Lagomorpha,Leporidae,Lepus,saxatilis,Lepus_saxatilis,48,48,,XY,,23,unfused,Animal Karyotype Book,Robinson 1980
772,Lagomorpha,Leporidae,Lepus,timidus,Lepus_timidus,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Beklemisheva et al. 2011
774,Lagomorpha,Leporidae,Lepus,tolai,Lepus_tolai,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Beklemisheva and Romanenko (Unpublished)
762,Lagomorpha,Leporidae,Lepus,townsendii,Lepus_townsendii,48,48,,XY,,23,unfused,Blackmon,
765,Lagomorpha,Leporidae,Romerolagus,diazi,Romerolagus_diazi,48,48,,XY,,23,unfused,Blackmon,Robinson et al. 2002
878,Primates,Cercopithecidae,Allenopithecus,nigroviridis,Allenopithecus_nigroviridis,48,48,,XY,,23,unfused,Blackmon,CRES San Diego (Unpublished)
899,Primates,Cercopithecidae,Nasalis,larvatus,Nasalis_larvatus,48,48,,XY,,23,unfused,Blackmon,
923,Primates,Hominidae,Gorilla,gorilla,Gorilla_gorilla,48,48,,XY,,23,unfused,Blackmon,Yunis and Prakash 1982
925,Primates,Hominidae,Pan,paniscus,Pan_paniscus,48,48,,XY,,23,unfused,Blackmon,Bigoni and Stanyon (Unpublished)
926,Primates,Hominidae,Pan,troglodytes,Pan_troglodytes,48,48,,XY,,23,unfused,Blackmon,Yunis and Prakash 1982
929,Primates,Hominidae,Pongo,abelii,Pongo_abelii,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Jauch et al. 1992
927,Primates,Hominidae,Pongo,pygmaeus,Pongo_pygmaeus,48,48,,XY,,23,unfused,Blackmon,Yunis and Prakash 1982
928,Primates,Hominidae,Pongo,pygmaeus abelii,Pongo_pygmaeus abelii,48,48,,XY,,23,unfused,Animal Karyotype Book,Bigoni and Stanyon (Unpublished)
943,Primates,Indriidae,Propithecus,verreauxi coquereli,Propithecus_verreauxi coquereli,48,48,,XY,,23,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
964,Primates,Pitheciidae,Pithecia,irrorata,Pithecia_irrorata,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Finotelo et al. 2010
963,Primates,Pitheciidae,Pithecia,pithecia,Pithecia_pithecia,48,48,,XY,,23,unfused,Animal Karyotype Book,CRES San Diego (Unpublished)
990,Rodentia,Castoridae,Castor,fiber,Castor_fiber,48,48,,XY,,23,unfused,Animal Karyotype Book,Graphodatsky et al. 2008b
1028,Rodentia,Cricetidae,Baiomys,taylori subater,Baiomys_taylori subater,48,48,,XY,,23,unfused,Blackmon,
1030,Rodentia,Cricetidae,Blanfordimys,bucharicus,Blanfordimys_bucharicus,48,48,,XY,,23,unfused,Animal Karyotype Book,Sablina et al. (Unpublished)
1136,Rodentia,Cricetidae,Microtus,dogramacii,Microtus_dogramacii,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Lemskaya et al. 2010
1145,Rodentia,Cricetidae,Microtus,mandarinus,Microtus_mandarinus,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Aniskin and Volobouev (Unpublished)
1112,Rodentia,Cricetidae,Microtus,mexicanus,Microtus_mexicanus,48,48,,XY,,23,unfused,Animal Karyotype Book,Modi 1987
1169,Rodentia,Cricetidae,Neotomodon,alstoni,Neotomodon_alstoni,48,48,,XY,,23,unfused,Blackmon,
1177,Rodentia,Cricetidae,Onychomys,leucogaster,Onychomys_leucogaster,48,48,,XY,,23,unfused,Blackmon,
1178,Rodentia,Cricetidae,Onychomys,torridus,Onychomys_torridus,48,48,,XY,,23,unfused,Blackmon,
1183,Rodentia,Cricetidae,Ototylomys,phyllotis,Ototylomys_phyllotis,48,48,,XY,,23,unfused,Blackmon,
1184,Rodentia,Cricetidae,Peromyscus,boylii,Peromyscus_boylii,48,48,,XY,,23,unfused,Blackmon,Greenbaum et al. 1994
1185,Rodentia,Cricetidae,Peromyscus,californicus,Peromyscus_californicus,48,48,,XY,,23,unfused,Blackmon,
1186,Rodentia,Cricetidae,Peromyscus,eremicus,Peromyscus_eremicus,48,48,,XY,,23,unfused,Blackmon,Romanenko et al. 2007
1187,Rodentia,Cricetidae,Peromyscus,floridanus,Peromyscus_floridanus,48,48,,XY,,23,unfused,Blackmon,
1188,Rodentia,Cricetidae,Peromyscus,gossypinus,Peromyscus_gossypinus,48,48,,XY,,23,unfused,Blackmon,
1189,Rodentia,Cricetidae,Peromyscus,malanophyrys,Peromyscus_malanophyrys,48,48,,XY,,23,unfused,Blackmon,
1190,Rodentia,Cricetidae,Peromyscus,maniculatus,Peromyscus_maniculatus,48,48,,XY,,23,unfused,Blackmon,Greenbaum et al. 1994
1191,Rodentia,Cricetidae,Peromyscus,ochraventer,Peromyscus_ochraventer,48,48,,XY,,23,unfused,Blackmon,
1192,Rodentia,Cricetidae,Peromyscus,polionotus,Peromyscus_polionotus,48,48,,XY,,23,unfused,Blackmon,
1193,Rodentia,Cricetidae,Peromyscus,truei,Peromyscus_truei,48,48,,XY,,23,unfused,Blackmon,Greenbaum et al. 1994
1228,Rodentia,Ctenomyidae,Ctenomys,talarum,Ctenomys_talarum,48,48,,XY,,23,unfused,Animal Karyotype Book,L. Garcia et al. 2002
1266,Rodentia,Geomyidae,Thomomys,talpoides,Thomomys_talpoides,48,48,,XY,,23,unfused,Animal Karyotype Book,Thaeler Jr. 1974
1267,Rodentia,Geomyidae,Thomomys,talpoides attenuatus,Thomomys_talpoides attenuatus,48,48,,XY,,23,unfused,Animal Karyotype Book,Thaeler Jr. 1968
1268,Rodentia,Geomyidae,Thomomys,talpoides pygmaeus,Thomomys_talpoides pygmaeus,48,48,,XY,,23,unfused,Animal Karyotype Book,Thaeler Jr. 1968
1269,Rodentia,Gliridae,Dryomys,nitedula,Dryomys_nitedula,48,48,,XY,,23,unfused,Animal Karyotype Book,Graphodatsky (Unpublished)
1274,Rodentia,Gliridae,Eliomys,melanurus,Eliomys_melanurus,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Sannier et al. 2011
1270,Rodentia,Gliridae,Eliomys,quercinus,Eliomys_quercinus,48,48,,XY,,23,unfused,Blackmon,Graphodatsky (Unpublished)
1294,Rodentia,Heteromyidae,Liomys,pictus,Liomys_pictus,48,48,,XY,,23,unfused,Blackmon,
1306,Rodentia,Muridae,Apodemus,agrarius,Apodemus_agrarius,48,48,,XY,,23,unfused,Blackmon,Sablina et al. (Unpublished)
1307,Rodentia,Muridae,Apodemus,flavicolis,Apodemus_flavicolis,48,48,yes,XY,,23,unfused,Blackmon,Sablina et al. (Unpublished)
1311,Rodentia,Muridae,Apodemus,mystaconus,Apodemus_mystaconus,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Sablina et al. (Unpublished)
1308,Rodentia,Muridae,Apodemus,peninsulae,Apodemus_peninsulae,48,48,yes (6),XY,,23,unfused,Animal Karyotype Book,Sablina et al. (Unpublished)
1309,Rodentia,Muridae,Apodemus,speciosus,Apodemus_speciosus,48,48,,XY,,23,unfused,Blackmon,
1305,Rodentia,Muridae,Apodemus,sylvaticus,Apodemus_sylvaticus,48,48,,XY,,23,unfused,Blackmon,Stanyon et al. 2004
1310,Rodentia,Muridae,Apodemus,uralensis,Apodemus_uralensis,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Volobouev and Aniskin (Unpublished)
1334,Rodentia,Muridae,Gerbillurus,kempi,Gerbillurus_kempi,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Volobouev et al. 2007
1338,Rodentia,Muridae,Hapalomys,delacouri,Hapalomys_delacouri,48,48,yes,XY,,23,unfused,Animal Karyotype Book 2020,Badenhort et al. 2012
1371,Rodentia,Muridae,Mus,pahari,Mus_pahari,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Veyrunes et al. 2006
1377,Rodentia,Muridae,Psammomys,obesus,Psammomys_obesus,48,48,,XY,,23,unfused,Blackmon,
1436,Rodentia,Sciuridae,Glaucomys,volans,Glaucomys_volans,48,48,,XY,,23,unfused,Blackmon,
1393,Rodentia,Spalacidae,Tachyoryctes,splendens,Tachyoryctes_splendens,48,48,,XY,,23,unfused,Animal Karyotype Book 2020,Aniskin et al. 1997b
1462,Rodentia,Spalacidae,Tachyoryctes,splendens,Tachyoryctes_splendens,48,48,,XY,,23,unfused,Animal Karyotype Book,Aniskin et al. 1997b
1469,Sirenia,Trichechidae,Trichechus,manatus latirostris,Trichechus_manatus latirostris,48,48,,XY,,23,unfused,Animal Karyotype Book,Gray et al. 2002
193,Artiodactyla,Cervidae,Muntiacus,reevesi,Muntiacus_reevesi,46,46,,XY,,22,unfused,Blackmon,Yang et al. 1995
